GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kabusapi-client,io.swagger.client,ProgressResponseBody.new ForwardingSource() {...},46,0,4,0,6,0,4,0,2,0
kabusapi-client,io.swagger.client,ApiResponse,12,15,0,0,4,6,3,2,3,2
kabusapi-client,io.swagger.client,JSON.SqlDateTypeAdapter,75,3,8,0,21,2,8,1,4,1
kabusapi-client,io.swagger.client,JSON.LocalDateTypeAdapter,36,14,4,0,11,5,5,2,3,2
kabusapi-client,io.swagger.client,Pair,6,45,4,4,0,17,4,6,0,6
kabusapi-client,io.swagger.client,StringUtil,70,0,14,0,12,0,10,0,3,0
kabusapi-client,io.swagger.client,JSON,113,68,7,1,28,18,13,4,9,4
kabusapi-client,io.swagger.client,GzipRequestInterceptor.new RequestBody() {...},27,0,0,0,5,0,4,0,4,0
kabusapi-client,io.swagger.client,GzipRequestInterceptor.new RequestBody() {...},28,0,0,0,7,0,4,0,4,0
kabusapi-client,io.swagger.client,JSON.DateTypeAdapter,74,3,8,0,23,2,8,1,4,1
kabusapi-client,io.swagger.client,ApiClient,1195,499,147,61,271,104,143,26,47,18
kabusapi-client,io.swagger.client,Configuration,6,7,0,0,3,2,2,2,2,2
kabusapi-client,io.swagger.client,GzipRequestInterceptor,57,0,4,0,13,0,6,0,4,0
kabusapi-client,io.swagger.client,ApiException,124,0,0,0,29,0,12,0,12,0
kabusapi-client,io.swagger.client,ProgressResponseBody,37,0,2,0,10,0,6,0,5,0
kabusapi-client,io.swagger.client,ProgressRequestBody.new ForwardingSink() {...},51,0,4,0,9,0,4,0,2,0
kabusapi-client,io.swagger.client,ProgressRequestBody,35,0,0,0,11,0,5,0,5,0
kabusapi-client,io.swagger.client,ApiClient.new HostnameVerifier() {...},8,0,0,0,2,0,2,0,2,0
kabusapi-client,io.swagger.client,ApiClient.new X509TrustManager() {...},10,0,0,0,4,0,4,0,4,0
kabusapi-client,io.swagger.client,ApiClient.new Callback() {...},51,0,0,0,10,0,3,0,3,0
kabusapi-client,io.swagger.client,JSON.OffsetDateTimeTypeAdapter,33,32,3,3,7,11,4,4,2,3
kabusapi-client,io.swagger.client.api,OrderApi,247,510,28,20,51,109,30,18,6,18
kabusapi-client,io.swagger.client.api,AuthApi,61,120,5,3,14,28,7,6,3,6
kabusapi-client,io.swagger.client.api,RegisterApi.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
kabusapi-client,io.swagger.client.api,RegisterApi.new Interceptor() {...},26,0,0,0,5,0,2,0,2,0
kabusapi-client,io.swagger.client.api,RegisterApi.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
kabusapi-client,io.swagger.client.api,RegisterApi.new ProgressResponseBody.ProgressListener() {...},16,0,0,0,3,0,2,0,2,0
kabusapi-client,io.swagger.client.api,RegisterApi.new ProgressRequestBody.ProgressRequestListener() {...},16,0,0,0,3,0,2,0,2,0
kabusapi-client,io.swagger.client.api,RegisterApi.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
kabusapi-client,io.swagger.client.api,WalletApi.new Interceptor() {...},26,0,0,0,5,0,2,0,2,0
kabusapi-client,io.swagger.client.api,WalletApi.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
kabusapi-client,io.swagger.client.api,WalletApi.new ProgressRequestBody.ProgressRequestListener() {...},16,0,0,0,3,0,2,0,2,0
kabusapi-client,io.swagger.client.api,WalletApi.new ProgressResponseBody.ProgressListener() {...},16,0,0,0,3,0,2,0,2,0
kabusapi-client,io.swagger.client.api,WalletApi.new ProgressRequestBody.ProgressRequestListener() {...},16,0,0,0,3,0,2,0,2,0
kabusapi-client,io.swagger.client.api,WalletApi.new ProgressResponseBody.ProgressListener() {...},16,0,0,0,3,0,2,0,2,0
kabusapi-client,io.swagger.client.api,WalletApi.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
kabusapi-client,io.swagger.client.api,WalletApi.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
kabusapi-client,io.swagger.client.api,WalletApi.new Interceptor() {...},26,0,0,0,5,0,2,0,2,0
kabusapi-client,io.swagger.client.api,WalletApi.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
kabusapi-client,io.swagger.client.api,WalletApi.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
kabusapi-client,io.swagger.client.api,WalletApi.new Interceptor() {...},26,0,0,0,5,0,2,0,2,0
kabusapi-client,io.swagger.client.api,WalletApi.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
kabusapi-client,io.swagger.client.api,WalletApi.new ProgressRequestBody.ProgressRequestListener() {...},16,0,0,0,3,0,2,0,2,0
kabusapi-client,io.swagger.client.api,WalletApi.new ProgressRequestBody.ProgressRequestListener() {...},16,0,0,0,3,0,2,0,2,0
